frame,timestamp_s,pitch_deg,yaw_deg,roll_deg,is_nod
483,20.125,3.95,-4.07,176.23,1
484,20.167,3.53,-2.55,176.30,0
485,20.208,3.25,1.47,176.26,0
486,20.250,3.62,1.85,176.29,0
487,20.292,4.22,1.98,176.13,0
488,20.333,4.73,0.31,176.00,1
489,20.375,4.61,-1.46,175.85,0
490,20.417,5.24,-1.54,175.69,0
491,20.458,5.74,-3.45,175.58,0
492,20.500,5.69,-3.81,175.61,0
493,20.542,5.59,-4.01,175.93,0
494,20.583,5.77,-3.71,176.03,0
495,20.625,4.40,-6.01,176.02,0
496,20.667,4.83,-3.02,176.21,0
497,20.708,6.01,-0.46,175.99,0
498,20.750,4.48,1.46,176.25,0
499,20.792,4.83,6.23,176.27,0
500,20.833,4.16,4.16,175.80,0
501,20.875,4.60,2.80,175.85,0
502,20.917,5.60,3.30,175.53,0
503,20.958,5.80,3.17,175.56,0
504,21.000,6.21,-0.11,175.11,0
505,21.042,6.17,-0.68,174.87,0
506,21.083,6.35,-0.21,174.75,0
507,21.125,6.35,-1.97,174.76,0
508,21.167,5.86,-2.43,174.76,0
509,21.208,5.30,1.88,175.02,0
510,21.250,5.45,1.83,174.87,0
